date,retail_sales_index,mom_growth_pct,yoy_growth_pct
2021-01-01,80.0,,
2021-02-01,89.8,12.250000000000005,
2021-03-01,90.1,0.33407572383072903,
2021-04-01,90.4,0.33296337402886067,
2021-05-01,100.6,11.283185840707954,
2021-06-01,106.9,6.262425447316122,
2021-07-01,105.4,-1.4031805425631427,
2021-08-01,104.1,-1.2333965844402384,
2021-09-01,105.1,0.9606147934678289,
2021-10-01,109.7,4.3767840152236115,
2021-11-01,111.8,1.9143117593436676,
2021-12-01,104.1,-6.88729874776387,
2022-01-01,100.2,-3.7463976945244837,25.249999999999993
2022-02-01,102.8,2.594810379241519,14.476614699331858
2022-03-01,105.3,2.4319066147859836,16.87014428412874
2022-04-01,106.2,0.8547008547008517,17.47787610619469
2022-05-01,105.8,-0.37664783427495685,5.168986083499005
2022-06-01,108.6,2.6465028355387554,1.5902712815715425
2022-07-01,106.3,-2.117863720073665,0.8538899430740043
2022-08-01,107.8,1.411100658513642,3.5542747358309423
2022-09-01,109.1,1.2059369202226389,3.8058991436726863
2022-10-01,110.4,1.1915673693859041,0.6381039197812299
2022-11-01,109.6,-0.7246376811594346,-1.9677996422182487
2022-12-01,111.9,2.098540145985406,7.492795389049012
2023-01-01,108.9,-2.680965147453085,8.682634730538918
2023-02-01,110.3,1.2855831037649201,7.295719844357973
2023-03-01,112.2,1.7225747960108784,6.552706552706566
2023-04-01,111.8,-0.35650623885918886,5.273069679849329
2023-05-01,112.7,0.805008944543828,6.521739130434789
2023-06-01,113.2,0.4436557231588312,4.23572744014733
2023-07-01,111.2,-1.7667844522968212,4.609595484477902
2023-08-01,113.8,2.338129496402863,5.56586270871986
2023-09-01,111.4,-2.108963093145866,2.108157653528875
2023-10-01,111.0,-0.35906642728905647,0.5434782608695565
2023-11-01,113.6,2.3423423423423406,3.649635036496357
2023-12-01,112.9,-0.6161971830985769,0.8936550491510209
2024-01-01,113.4,0.44286979627989886,4.132231404958686
2024-02-01,112.4,-0.881834215167554,1.903898458748876
2024-03-01,114.3,1.6903914590747249,1.8716577540106805
2024-04-01,112.2,-1.8372703412073421,0.3577817531305927
2024-05-01,112.5,0.2673796791443861,-0.17746228926353025
2024-06-01,111.6,-0.8000000000000007,-1.4134275618374659
2024-07-01,111.6,0.0,0.3597122302158251
2024-08-01,111.0,-0.5376344086021501,-2.4604569420035083
2024-09-01,111.5,0.45045045045044585,0.08976660682225024
2024-10-01,112.6,0.9865470852017832,1.4414414414414267
2024-11-01,112.6,0.0,-0.8802816901408494
2024-12-01,114.5,1.6873889875666181,1.417183348095663
2025-01-01,113.0,-1.3100436681222738,-0.3527336860670194
2025-02-01,114.5,1.327433628318575,1.868327402135228
2025-03-01,114.2,-0.26200873362445254,-0.08748906386700783
2025-04-01,115.6,1.2259194395796813,3.0303030303030276
2025-05-01,114.6,-0.865051903114189,1.866666666666661
2025-06-01,115.4,0.6980802792321272,3.405017921146958
2025-07-01,115.4,0.0,3.405017921146958
2025-08-01,115.2,-0.17331022530329143,3.7837837837837895
2025-09-01,115.5,0.26041666666667407,3.587443946188351
2025-10-01,114.7,-0.6926406926406892,1.8650088809946785
2025-11-01,115.1,0.34873583260679464,2.2202486678507993
2025-12-01,114.7,-0.3475238922675872,0.17467248908296096
2026-01-01,116.6,1.6564952048822912,3.1858407079645934
2026-02-01,115.8,-0.6861063464837058,1.1353711790393017
2026-03-01,115.2,-0.5181347150258975,0.8756567425569184
2026-04-01,115.1,-0.08680555555555802,-0.4325259515570945
2026-05-01,115.8,0.6081668114682914,1.0471204188481797
2026-06-01,116.4,0.5181347150259086,0.8665511265164572
2026-07-01,118.0,1.3745704467353903,2.253032928942811
